"p_ID","Default_Names","Dead_Code","Total_Blocks"
50675500,0,0,25
50686348,0,0,4
50699446,0,0,214
50737662,1,0,18
50737768,0,1,31
50744682,5,5,68
50753926,2,0,19
50777542,0,0,59
50792796,0,0,66
50836042,1,0,47
50842562,0,0,33
50894220,1,0,64
50919466,6,0,148
50922160,0,0,26
50922726,0,0,3
50988770,0,0,58
50989530,2,0,30
50998834,1,0,5
50999984,1,0,25
51028940,0,1,13
51035764,1,0,19
51054820,0,0,40
51060046,5,1,92
51164636,1,1,9
51166384,18,0,108
51171384,8,31,434
51198222,0,14,324
51203408,0,0,24
51203456,1,0,14
51206388,0,2,34
51208598,1,3,64
51218688,3,0,132
51229696,1,0,17
51238824,0,2,705
51274174,1,0,20
51317164,4,0,90
51369208,0,0,36
51371444,1,2,30
51467618,0,0,35
51499148,20,0,856
51499626,0,1,27
51557968,1,0,72
51631746,2,0,62
51642816,1,4,65
51642864,1,0,13
51643094,3,0,79
51681128,0,0,36
51740382,0,44,4468
51767416,0,1,75
51774908,3,4,92
51876920,0,0,144
51921740,1,0,136
51943172,1,0,90
51982544,17,2,1221
51992270,1,0,171
52017110,0,0,114
52041492,0,0,22
52091674,0,2,19
52149508,4,6,755
52150398,1,4,43
52222004,0,0,146
52245786,0,0,257
52255742,0,0,18
52296882,8,1,431
52321632,0,1,123
52331594,10,0,134
52392484,16,6,558
52404502,13,0,1398
52442432,7,4,61
52559206,1,0,4
52583188,1,1,1950
52585314,6,2,56
52675524,0,0,488
52684334,0,0,50
52697000,1,0,8
52726814,0,0,52
52880608,0,0,37
52901944,0,0,114
52931700,0,0,5
52948894,0,0,5
53036578,0,0,42
53050112,1,0,15
53122818,1,2,1054
53123334,1,0,131
53123554,0,0,32
53123642,0,0,515
53156708,2,1,76
53195984,0,3,62
53201222,1,0,3
53242656,0,0,31
53254988,2,0,167
53275470,0,0,140
53280160,2,0,72
53369032,0,0,42
53504692,1,0,37
53512848,1,0,54
53515180,2,0,27
53523058,1,0,10
53532054,0,0,74
53603782,0,1,44
53622424,10,5,2104
53622696,0,0,10
53671626,4,0,52
53722958,0,0,108
53723084,0,0,162
53728604,0,0,121
53742096,1,1,202
53810968,4,0,93
53824340,4,3,26
53874254,0,0,58
53989392,0,0,21
54029982,1,0,27
54059276,0,0,28
54133284,21,1,393
54169658,0,1,36
54197856,0,0,151
54207596,0,1,527
54310464,0,0,14
54318304,1,0,26
54322004,0,0,22
54386336,0,0,171
54394522,8,0,149
54478646,0,0,3
54484410,0,0,11
54495760,3,0,60
54579590,1,1,26
54583708,0,0,3
54584934,0,0,3
54588596,0,0,3
54589244,3,43,916
54648234,0,1,302
54687932,0,0,24
54723732,1,2,128
54732786,1,0,18
54742840,3,11,2360
54751122,11,0,55
54758732,0,0,17
54766492,0,24,5043
54801282,0,0,1771
54889522,12,0,396
54891392,2,7,195
54904392,0,0,451
54927522,1,2,125
54938606,14,0,274
54976676,3,2,63
55091172,1,8,58
55118150,1,0,100
55207932,1,0,24
55217210,1,0,49
55235488,1,0,41
55288228,0,0,24
55289240,0,0,23
55407016,1,2,53
55410994,2,1,498
55425560,2,0,72
55429904,0,0,5
55429920,0,0,3
55434408,3,35,732
55434518,45,0,878
55434524,0,0,1358
55434620,1,0,39
55434624,1,1,537
55496652,1,0,127
55507180,4,6,1107
55507204,0,0,34
55537738,2,1,734
55593572,0,0,33
55618936,0,2,219
55715150,0,0,28
55717620,0,0,42
55760490,5,0,114
55780068,9,0,169
55780270,0,0,2
55794624,0,0,2041
55806666,2,1,26
55817542,0,1,251
55821526,0,0,82
55832696,0,0,64
55862784,1,0,6
55898848,0,2,190
56064304,0,1,332
56165314,1,0,90
56186574,0,0,27
56188932,2,0,17
56242858,0,0,10
56247022,0,0,40
56248898,1,0,35
56411902,0,0,19
56428804,0,0,18
56484348,1,0,15
56511318,0,0,6
56532082,0,0,44
56585268,0,0,95
56620608,1,7,54
56628028,0,0,22
56662726,0,2,238
56701214,1,0,881
56719194,1,0,8
56786990,1,0,44
56808760,0,0,12
56809358,4,1,151
56819890,10,6,222
56876594,1,0,48
56897056,0,1,134
56898910,4,0,92
56938360,2,0,171
57045212,0,0,34
57185216,1,0,96
57215920,0,0,14
57249678,0,0,3
57308428,1,0,129
57325572,0,0,4
57351034,2,0,14
57403718,0,0,107
57446500,0,0,1397
57446982,0,0,3
57459908,1,0,8
57566042,1,0,108
57588980,1,21,2348
57631854,0,0,126
57648344,0,2,790
57699720,1,0,12
57749400,0,0,53
57758352,2,7,44
57760776,0,1,42
57802458,0,0,522
57822922,1,2,741
57955838,1,0,65
57969800,0,3,614
58008126,1,0,44
58019160,4,1,232
